Month,Weekday,Hour,Factor
7,3,5,0.922344
7,3,6,0.984327
7,3,7,1.03448
7,3,8,1.06351
7,3,9,1.07262
7,3,10,1.076
7,3,11,1.06674
7,3,12,1.06436
7,3,13,1.05361
7,3,14,1.04404
7,3,15,1.03274
7,3,16,1.02638
7,3,17,1.03002
7,3,18,1.03426
7,3,19,1.03271
7,3,20,1.02321
7,3,21,1.01464
7,3,22,1.00773
7,3,23,0.970531
7,4,0,0.939235
7,4,1,0.907834
7,4,2,0.883662
7,4,3,0.868485
7,4,4,0.871914
7,4,5,0.920531
7,4,6,0.985949
7,4,7,1.02403
7,4,8,1.0522
7,4,9,1.05674
7,4,10,1.0589
7,4,11,1.05898
7,4,12,1.05458
7,4,13,1.03949
7,4,14,1.03783
7,4,15,1.03108
7,4,16,1.02931
7,4,17,1.03697
7,4,18,1.0433
7,4,19,1.03843
7,4,20,1.02436
7,4,21,1.02147
7,4,22,1.01202
7,4,23,0.973279
7,5,0,0.957842
7,5,1,0.929795
7,5,2,0.917411
7,5,3,0.890889
7,5,4,0.872897
7,5,5,0.928648
7,5,6,0.989129
7,5,7,1.03601
7,5,8,1.06539
7,5,9,1.07752
7,5,10,1.07967
7,5,11,1.06666
7,5,12,1.05191
7,5,13,1.03646
7,5,14,1.02273
7,5,15,1.01293
7,5,16,1.01321
7,5,17,1.02324
7,5,18,1.02878
7,5,19,1.03146
7,5,20,1.01302
7,5,21,0.999624
7,5,22,0.995664
7,5,23,0.965523
7,6,0,1.00918
7,6,1,0.983144
7,6,2,0.954999
7,6,3,0.935179
7,6,4,0.917599
7,6,5,0.923868
7,6,6,0.958282
7,6,7,0.983863
7,6,8,1.01007
7,6,9,1.0382
7,6,10,1.03885
7,6,11,1.03875
7,6,12,1.01745
7,6,13,1.00251
7,6,14,0.991728
7,6,15,0.981635
7,6,16,0.993632
7,6,17,1.01006
7,6,18,1.03561
7,6,19,1.05142
7,6,20,1.04278
7,6,21,1.03449
7,6,22,1.04465
7,6,23,1.00049
7,7,0,1.01319
7,7,1,0.972613
7,7,2,0.94922
7,7,3,0.919172
7,7,4,0.882455
7,7,5,0.89262
7,7,6,0.897598
7,7,7,0.931277
7,7,8,0.9762
7,7,9,1.00835
7,7,10,1.02624
7,7,11,1.03047
7,7,12,1.02835
7,7,13,1.01711
7,7,14,1.01202
7,7,15,1.00879
7,7,16,1.01412
7,7,17,1.02542
7,7,18,1.04359
7,7,19,1.07364
7,7,20,1.08125
7,7,21,1.08475
7,7,22,1.08232
7,7,23,1.0467
8,1,0,0.885292
8,1,1,0.838713
8,1,2,0.829004
8,1,3,0.82947
8,1,4,0.827194
8,1,5,0.870864
8,1,6,0.993361
8,1,7,1.05589
8,1,8,1.10246
8,1,9,1.08791
8,1,10,1.09531
8,1,11,1.08735
8,1,12,1.07725
8,1,13,1.07271
8,1,14,1.06073
8,1,15,1.04223
8,1,16,1.03309
8,1,17,1.03858
8,1,18,1.05578
8,1,19,1.064
8,1,20,1.03238
8,1,21,1.02271
8,1,22,0.997419
8,1,23,0.958606
8,2,0,0.916441
8,2,1,0.88282
8,2,2,0.878226
8,2,3,0.874116
8,2,4,0.874765
8,2,5,0.907084
8,2,6,0.980141
8,2,7,1.04404
8,2,8,1.0863
8,2,9,1.08538
8,2,10,1.0888
8,2,11,1.07916
8,2,12,1.06291
8,2,13,1.0591
8,2,14,1.0422
8,2,15,1.03382
8,2,16,1.02521
8,2,17,1.02869
8,2,18,1.04327
8,2,19,1.04844
8,2,20,1.02997
8,2,21,1.03185
8,2,22,0.993157
